Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,No of Mesh Layers,Base Material
300,0.428,4.35,0.856,15,Hex,Without mesh,0,PTA
301,0.43,4.38,0.861,15,Hex,Without mesh,0,PTA
303,0.433,4.4,0.866,15,Hex,Without mesh,0,PTA
305,0.435,4.42,0.871,15,Hex,Without mesh,0,PTA
306,0.438,4.44,0.876,15,Hex,Without mesh,0,PTA
308,0.44,4.47,0.881,15,Hex,Without mesh,0,PTA
309,0.443,4.49,0.886,15,Hex,Without mesh,0,PTA
311,0.445,4.51,0.891,15,Hex,Without mesh,0,PTA
313,0.448,4.54,0.896,15,Hex,Without mesh,0,PTA
314,0.45,4.56,0.901,15,Hex,Without mesh,0,PTA
316,0.453,4.58,0.906,15,Hex,Without mesh,0,PTA
318,0.456,4.61,0.911,15,Hex,Without mesh,0,PTA
320,0.458,4.64,0.916,15,Hex,Without mesh,0,PTA
321,0.46,4.66,0.921,15,Hex,Without mesh,0,PTA
322,0.463,4.68,0.926,15,Hex,Without mesh,0,PTA
324,0.466,4.7,0.931,15,Hex,Without mesh,0,PTA
325,0.468,4.72,0.936,15,Hex,Without mesh,0,PTA
327,0.471,4.74,0.941,15,Hex,Without mesh,0,PTA
329,0.473,4.77,0.946,15,Hex,Without mesh,0,PTA
330,0.476,4.79,0.951,15,Hex,Without mesh,0,PTA
332,0.478,4.81,0.956,15,Hex,Without mesh,0,PTA
333,0.481,4.84,0.961,15,Hex,Without mesh,0,PTA
335,0.483,4.86,0.966,15,Hex,Without mesh,0,PTA
337,0.486,4.88,0.971,15,Hex,Without mesh,0,PTA
338,0.488,4.91,0.977,15,Hex,Without mesh,0,PTA
340,0.491,4.93,0.982,15,Hex,Without mesh,0,PTA
341,0.493,4.95,0.987,15,Hex,Without mesh,0,PTA
343,0.496,4.98,0.992,15,Hex,Without mesh,0,PTA
345,0.498,5,0.996,15,Hex,Without mesh,0,PTA
346,0.501,5.02,1,15,Hex,Without mesh,0,PTA
348,0.503,5.04,1.01,15,Hex,Without mesh,0,PTA
349,0.506,5.07,1.01,15,Hex,Without mesh,0,PTA
351,0.508,5.09,1.02,15,Hex,Without mesh,0,PTA
352,0.511,5.11,1.02,15,Hex,Without mesh,0,PTA
354,0.514,5.14,1.03,15,Hex,Without mesh,0,PTA
355,0.516,5.16,1.03,15,Hex,Without mesh,0,PTA
357,0.519,5.18,1.04,15,Hex,Without mesh,0,PTA
359,0.521,5.2,1.04,15,Hex,Without mesh,0,PTA
360,0.523,5.23,1.05,15,Hex,Without mesh,0,PTA
362,0.526,5.26,1.05,15,Hex,Without mesh,0,PTA
363,0.529,5.28,1.06,15,Hex,Without mesh,0,PTA
365,0.531,5.3,1.06,15,Hex,Without mesh,0,PTA
367,0.534,5.32,1.07,15,Hex,Without mesh,0,PTA
368,0.536,5.34,1.07,15,Hex,Without mesh,0,PTA
369,0.539,5.36,1.08,15,Hex,Without mesh,0,PTA
371,0.541,5.38,1.08,15,Hex,Without mesh,0,PTA
372,0.544,5.4,1.09,15,Hex,Without mesh,0,PTA
374,0.546,5.44,1.09,15,Hex,Without mesh,0,PTA
375,0.549,5.45,1.1,15,Hex,Without mesh,0,PTA
378,0.551,5.48,1.1,15,Hex,Without mesh,0,PTA
379,0.554,5.5,1.11,15,Hex,Without mesh,0,PTA
380,0.556,5.51,1.11,15,Hex,Without mesh,0,PTA
382,0.559,5.55,1.12,15,Hex,Without mesh,0,PTA
383,0.561,5.56,1.12,15,Hex,Without mesh,0,PTA
385,0.564,5.59,1.13,15,Hex,Without mesh,0,PTA
386,0.566,5.61,1.13,15,Hex,Without mesh,0,PTA
388,0.569,5.63,1.14,15,Hex,Without mesh,0,PTA
390,0.571,5.66,1.14,15,Hex,Without mesh,0,PTA
392,0.574,5.68,1.15,15,Hex,Without mesh,0,PTA
393,0.576,5.7,1.15,15,Hex,Without mesh,0,PTA
395,0.579,5.73,1.16,15,Hex,Without mesh,0,PTA
396,0.581,5.74,1.16,15,Hex,Without mesh,0,PTA
397,0.584,5.77,1.17,15,Hex,Without mesh,0,PTA
399,0.586,5.79,1.17,15,Hex,Without mesh,0,PTA
400,0.589,5.81,1.18,15,Hex,Without mesh,0,PTA
402,0.591,5.83,1.18,15,Hex,Without mesh,0,PTA
404,0.594,5.86,1.19,15,Hex,Without mesh,0,PTA
405,0.596,5.88,1.19,15,Hex,Without mesh,0,PTA
407,0.599,5.91,1.2,15,Hex,Without mesh,0,PTA
408,0.601,5.92,1.2,15,Hex,Without mesh,0,PTA
410,0.604,5.95,1.21,15,Hex,Without mesh,0,PTA
411,0.606,5.97,1.21,15,Hex,Without mesh,0,PTA
413,0.609,6,1.22,15,Hex,Without mesh,0,PTA
414,0.611,6.01,1.22,15,Hex,Without mesh,0,PTA
416,0.614,6.04,1.23,15,Hex,Without mesh,0,PTA
417,0.616,6.05,1.23,15,Hex,Without mesh,0,PTA
419,0.619,6.08,1.24,15,Hex,Without mesh,0,PTA
421,0.621,6.1,1.24,15,Hex,Without mesh,0,PTA
422,0.624,6.13,1.25,15,Hex,Without mesh,0,PTA
