Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
297,0.399,4.57,0.798,15,3D,Without Mesh,0,PLA
298,0.401,4.58,0.802,15,3D,Without Mesh,0,PLA
300,0.403,4.61,0.807,15,3D,Without Mesh,0,PLA
301,0.406,4.62,0.811,15,3D,Without Mesh,0,PLA
302,0.408,4.65,0.815,15,3D,Without Mesh,0,PLA
303,0.41,4.67,0.819,15,3D,Without Mesh,0,PLA
305,0.412,4.69,0.824,15,3D,Without Mesh,0,PLA
306,0.414,4.71,0.828,15,3D,Without Mesh,0,PLA
307,0.416,4.73,0.832,15,3D,Without Mesh,0,PLA
309,0.419,4.75,0.837,15,3D,Without Mesh,0,PLA
310,0.421,4.77,0.841,15,3D,Without Mesh,0,PLA
311,0.423,4.79,0.845,15,3D,Without Mesh,0,PLA
312,0.425,4.81,0.85,15,3D,Without Mesh,0,PLA
314,0.427,4.84,0.854,15,3D,Without Mesh,0,PLA
315,0.429,4.85,0.858,15,3D,Without Mesh,0,PLA
317,0.431,4.87,0.863,15,3D,Without Mesh,0,PLA
318,0.434,4.89,0.867,15,3D,Without Mesh,0,PLA
319,0.436,4.91,0.871,15,3D,Without Mesh,0,PLA
321,0.438,4.94,0.876,15,3D,Without Mesh,0,PLA
322,0.44,4.95,0.88,15,3D,Without Mesh,0,PLA
323,0.442,4.97,0.884,15,3D,Without Mesh,0,PLA
325,0.444,5,0.889,15,3D,Without Mesh,0,PLA
326,0.447,5.02,0.893,15,3D,Without Mesh,0,PLA
327,0.449,5.03,0.898,15,3D,Without Mesh,0,PLA
329,0.451,5.06,0.902,15,3D,Without Mesh,0,PLA
330,0.453,5.07,0.906,15,3D,Without Mesh,0,PLA
332,0.455,5.1,0.911,15,3D,Without Mesh,0,PLA
332,0.458,5.11,0.915,15,3D,Without Mesh,0,PLA
334,0.46,5.14,0.919,15,3D,Without Mesh,0,PLA
335,0.462,5.15,0.924,15,3D,Without Mesh,0,PLA
337,0.464,5.18,0.928,15,3D,Without Mesh,0,PLA
338,0.466,5.2,0.933,15,3D,Without Mesh,0,PLA
339,0.468,5.22,0.937,15,3D,Without Mesh,0,PLA
341,0.471,5.25,0.941,15,3D,Without Mesh,0,PLA
342,0.473,5.26,0.946,15,3D,Without Mesh,0,PLA
344,0.475,5.29,0.95,15,3D,Without Mesh,0,PLA
344,0.477,5.3,0.954,15,3D,Without Mesh,0,PLA
346,0.479,5.33,0.959,15,3D,Without Mesh,0,PLA
347,0.481,5.34,0.963,15,3D,Without Mesh,0,PLA
349,0.484,5.37,0.967,15,3D,Without Mesh,0,PLA
350,0.486,5.38,0.972,15,3D,Without Mesh,0,PLA
351,0.488,5.4,0.976,15,3D,Without Mesh,0,PLA
353,0.49,5.43,0.98,15,3D,Without Mesh,0,PLA
354,0.492,5.45,0.985,15,3D,Without Mesh,0,PLA
356,0.495,5.47,0.989,15,3D,Without Mesh,0,PLA
356,0.497,5.48,0.993,15,3D,Without Mesh,0,PLA
358,0.499,5.51,0.998,15,3D,Without Mesh,0,PLA
